Target,Mode,Run,Accuracy_All,Accuracy_Monomer,TN_pct_All,FP_pct_All,FN_pct_All,TP_pct_All,TN_pct_Monomer,FP_pct_Monomer,FN_pct_Monomer,TP_pct_Monomer,N_test_All,N_test_Monomer,Std_All,Std_Monomer,TN_pct_All_std,FP_pct_All_std,FN_pct_All_std,TP_pct_All_std,TN_pct_Monomer_std,FP_pct_Monomer_std,FN_pct_Monomer_std,TP_pct_Monomer_std
Mutagenic,Binary (2 vs others),30,86.26373626373626,93.75,82.96703296703298,2.197802197802198,11.538461538461538,3.296703296703297,93.75,0.0,6.25,0.0,182.0,16.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),31,84.61538461538461,100.0,82.41758241758241,2.7472527472527473,12.637362637362637,2.197802197802198,100.0,0.0,0.0,0.0,182.0,5.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),32,84.61538461538461,84.21052631578947,81.86813186813187,3.296703296703297,12.087912087912088,2.7472527472527473,84.21052631578947,0.0,15.789473684210526,0.0,182.0,19.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),33,85.16483516483517,90.0,80.21978021978022,4.945054945054945,9.89010989010989,4.945054945054945,90.0,0.0,10.0,0.0,182.0,10.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),34,86.26373626373626,100.0,82.96703296703298,2.197802197802198,11.538461538461538,3.296703296703297,100.0,0.0,0.0,0.0,182.0,5.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),35,87.36263736263736,88.88888888888889,81.86813186813187,3.296703296703297,9.340659340659341,5.4945054945054945,88.88888888888889,0.0,11.11111111111111,0.0,182.0,9.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),36,87.36263736263736,91.66666666666666,83.51648351648352,1.6483516483516485,10.989010989010989,3.8461538461538463,91.66666666666666,0.0,8.333333333333332,0.0,182.0,12.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),37,86.26373626373626,86.66666666666667,83.51648351648352,1.6483516483516485,12.087912087912088,2.7472527472527473,86.66666666666667,0.0,13.333333333333334,0.0,182.0,15.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),38,88.46153846153845,91.66666666666666,82.96703296703298,2.197802197802198,9.340659340659341,5.4945054945054945,91.66666666666666,0.0,8.333333333333332,0.0,182.0,12.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),39,86.26373626373626,88.23529411764706,82.41758241758241,2.7472527472527473,10.989010989010989,3.8461538461538463,88.23529411764706,0.0,11.76470588235294,0.0,182.0,17.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),40,88.46153846153845,90.0,84.06593406593407,1.098901098901099,10.43956043956044,4.395604395604396,90.0,0.0,10.0,0.0,182.0,10.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),41,87.36263736263736,78.57142857142857,82.96703296703298,2.197802197802198,10.43956043956044,4.395604395604396,78.57142857142857,0.0,21.428571428571427,0.0,182.0,14.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),42,86.81318681318682,94.73684210526315,82.41758241758241,2.7472527472527473,10.43956043956044,4.395604395604396,94.73684210526315,0.0,5.263157894736842,0.0,182.0,19.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),43,87.91208791208791,90.9090909090909,82.41758241758241,2.7472527472527473,9.340659340659341,5.4945054945054945,90.9090909090909,0.0,9.090909090909092,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),44,85.71428571428571,90.0,82.41758241758241,2.7472527472527473,11.538461538461538,3.296703296703297,90.0,0.0,10.0,0.0,182.0,10.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),45,87.36263736263736,88.88888888888889,82.96703296703298,2.197802197802198,10.43956043956044,4.395604395604396,88.88888888888889,11.11111111111111,0.0,0.0,182.0,9.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),46,86.26373626373626,88.88888888888889,84.06593406593407,1.098901098901099,12.637362637362637,2.197802197802198,88.88888888888889,0.0,11.11111111111111,0.0,182.0,9.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),47,87.91208791208791,91.66666666666666,82.96703296703298,2.197802197802198,9.89010989010989,4.945054945054945,91.66666666666666,0.0,8.333333333333332,0.0,182.0,12.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),48,86.26373626373626,80.0,82.96703296703298,2.197802197802198,11.538461538461538,3.296703296703297,80.0,0.0,20.0,0.0,182.0,10.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),49,85.71428571428571,87.5,81.31868131868131,3.8461538461538463,10.43956043956044,4.395604395604396,87.5,0.0,12.5,0.0,182.0,8.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),50,85.16483516483517,93.33333333333333,82.96703296703298,2.197802197802198,12.637362637362637,2.197802197802198,93.33333333333333,0.0,6.666666666666667,0.0,182.0,15.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),Summary,86.57142857142857,92.00733874828302,82.91208791208791,2.2527472527472527,11.175824175824175,3.6593406593406597,91.80733874828302,0.2222222222222222,7.770439029494757,0.2,,,1.2963307343348232,6.363977472353699,0.907841299003206,0.9078412990032037,1.1557284489862485,1.1557284489862487,6.577472521260623,1.5555555555555556,6.444686543173287,1.4000000000000004
